,SB
851,0.0043979836627841
852,4.473629815038294e-06
853,2.503530959074851e-05
854,1.5272044038283639e-06
855,0.00021027539332862943
856,5.395854714151938e-07
857,0.007319310214370489
858,0.0008803365635685623
859,3.606600387229264e-07
860,0.0012169446563348174
861,3.754737463168567e-07
862,3.445120171363669e-07
863,2.1843420654477086e-06
864,2.281581679142164e-08
865,3.9567035514664894e-07
866,0.003929336555302143
867,9.961207069864031e-06
868,4.3239644583081827e-05
869,5.1932497626694385e-06
870,0.0016021283809095621
871,1.2127869922551326e-05
872,1.2679545191573993e-09
873,2.4397547804255737e-07
874,8.143105333147105e-06
875,1.024954826789326e-06
876,1.4295437722466886e-07
877,0.0007211396005004644
878,5.001951990379894e-07
879,6.176453237749513e-10
880,1.4650629964307882e-05
881,5.6653443607501686e-05
882,8.371534931939095e-05
883,1.45987121413782e-06
884,0.00029331707628443837
885,4.800177322294985e-08
886,1.1347481176926522e-07
887,1.2585914191731717e-05
888,0.0011340446071699262
889,5.37554151378572e-05
890,3.6150377127341926e-05
891,0.0005524269654415548
892,2.229268829978537e-06
893,7.958461537782568e-06
894,2.7082466047545495e-08
895,1.1407397693119492e-07
896,0.0008745405357331038
897,2.3231243176269345e-05
898,0.00021868350449949503
899,8.458849265480239e-07
900,3.149425253923255e-07
901,3.422443114686757e-05
902,5.435256753116846e-05
903,1.7242127796635032e-05
904,6.348192073346581e-06
905,1.821977519966822e-07
906,5.494840479514096e-06
907,1.7155785769773502e-07
908,5.5751344916643575e-05
909,0.0003874799585901201
910,1.893822627607733e-06
911,0.002920309081673622
912,2.614115501842207e-08
913,1.24212775176602e-07
914,5.183069902159332e-07
915,0.00022122498194221407
916,0.0005709282704629004
917,6.297661002463428e-06
918,9.594286893843673e-07
919,3.2623902370687574e-05
920,1.171363692265004e-06
921,8.68997631187085e-06
922,4.3230338753197373e-10
923,0.0020568929612636566
924,1.7784854208002798e-05
925,0.0012819080147892237
926,1.496163690717367e-06
927,1.8079598262943364e-08
928,4.4579169866665325e-07
929,0.05251444876194
930,0.048187505453825
931,2.2226158691296405e-08
932,7.5025882324553095e-06
933,3.3327302162433625e-07
934,9.49863405708129e-08
935,1.8153157554934296e-07
936,6.840448207867666e-08
937,4.779357368533965e-06
938,0.000514912186190486
939,0.14511936902999878
940,6.9602801886503585e-06
941,1.008161598292645e-05
942,0.0018439767882227898
943,5.794781543499994e-08
944,5.355061603040667e-06
945,5.527721441467293e-06
946,5.384990345191909e-06
947,2.8462793011385656e-08
948,2.3252809455698298e-07
949,2.8298504730628338e-06
950,1.269738277187571e-05
951,7.434096573888382e-07
952,5.402069458426695e-09
953,9.333811249234714e-06
954,6.804974418628262e-06
955,9.354425856145099e-07
956,0.0076545532792806625
957,0.00024318741634488106
958,1.4285162251326256e-05
959,0.001489116926677525
960,0.0005542906583286822
961,2.2827278371551074e-05
962,4.0102262573782355e-05
963,6.24411882199638e-08
964,1.379809600621229e-05
965,9.840950042416807e-06
966,1.3274612342684122e-07
967,0.00034127841354347765
968,9.315540955867618e-05
969,0.00039748314884491265
970,2.359307836741209e-05
971,3.0927496936783427e-06
972,1.3831242995365756e-07
973,1.991646740862052e-06
974,1.0950083151328727e-06
975,5.861486851443942e-09
976,2.0033994587720372e-05
977,9.685201973752555e-08
978,7.886335515649989e-05
979,1.374349608340708e-06
980,1.5641373612984566e-11
981,2.4061610019998625e-06
982,3.597740942495875e-05
983,0.004381786100566387
984,0.0002922565909102559
985,0.0018014046363532543
986,0.002024084562435746
987,2.0607923943316564e-05
988,4.94978147358438e-09
989,5.977322192762813e-09
990,7.253289595610113e-07
991,2.823398403961619e-07
992,5.529129339265637e-06
993,1.919654479820565e-08
994,2.605059307825286e-06
995,1.5255827747751027e-06
996,8.163200391209102e-07
997,7.294501847354695e-05
998,0.00507044792175293
999,4.6177031975958016e-08
1000,1.4941438086779613e-09
1001,8.221479674830334e-08
1002,2.7119051537738414e-07
1003,1.1138618901895825e-05
1004,1.9405163698138495e-08
1005,4.800175520358607e-05
1006,7.209677278297022e-05
1007,9.846107928979109e-09
1008,6.568524213435012e-07
1009,3.91187313653063e-06
1010,1.4795629795116838e-05
1011,7.600907338201068e-06
1012,9.660190016802517e-07
1013,9.083822050115486e-08
1014,5.82821542138845e-07
1015,7.569346394120657e-08
1016,0.0004152391629759222
1017,0.00022967896074987948
1018,0.0018645861418917775
1019,0.0030191391706466675
1020,0.012896619737148285
1021,8.450967470707837e-06
1022,8.607672725702287e-07
1023,8.062482083914801e-05
1024,0.001816724892705679
1025,0.0076288748532533646
1026,0.0021924085449427366
1027,2.364461397519335e-05
1028,2.870180537684064e-07
1029,0.00014843889221083373
1030,2.8360578653519042e-05
1031,3.064419433940202e-05
1032,4.832237209484447e-06
1033,4.059370439790655e-07
1034,0.00013919406046625227
1035,6.017468194841058e-07
1036,0.00037342525320127606
1037,0.0008300769259221852
1038,1.987322775676148e-06
1039,2.115695529880668e-08
1040,1.0924642523946204e-08
1041,1.0449254972400013e-07
