,rank
2867,5
2868,4
2869,5
2870,4
2871,7
2872,12
2873,6
2874,5
2875,4
2876,6
2877,7
2878,7
2879,5
2880,14
2881,4
2882,8
2883,2
2884,24
2885,8
2886,12
2887,2
2888,7
2889,5
2890,6
2891,6
2892,3
2893,7
2894,6
2895,6
2896,5
2897,3
2898,7
2899,6
2900,9
2901,7
2902,3
2903,7
2904,8
2905,2
2906,5
2907,6
2908,4
2909,6
2910,6
2911,5
2912,5
2913,10
2914,1
2915,4
2916,8
2917,4
2918,9
2919,7
2920,5
2921,1
2922,30
2923,6
2924,2
2925,6
2926,7
2927,7
2928,8
2929,4
2930,6
2931,5
2932,2
2933,5
2934,7
2935,4
2936,7
2937,7
2938,5
2939,2
2940,7
2941,4
2942,7
2943,6
2944,5
2945,7
2946,6
2947,3
2948,6
2949,2
2950,9
2951,9
2952,8
2953,1
2954,7
2955,5
2956,3
2957,5
2958,9
2959,9
2960,7
2961,8
2962,7
2963,4
2964,3
2965,9
2966,7
2967,3
2968,6
2969,4
2970,5
2971,8
2972,8
2973,11
2974,6
2975,6
2976,4
2977,4
2978,3
2979,4
2980,8
2981,15
2982,4
2983,5
2984,2
2985,2
2986,4
2987,5
2988,7
2989,10
2990,6
2991,7
2992,6
2993,11
2994,1
